iter	Passed	Remaining
0	58	58318
1	58	29323
2	59	19700
3	59	14849
4	60	11954
5	60	10024
6	61	8666
7	61	7629
8	62	6837
9	62	6185
10	63	5667
11	63	5232
12	63	4856
13	64	4533
14	64	4250
15	65	4004
16	65	3793
17	66	3601
18	66	3426
19	66	3268
20	67	3126
21	67	3001
22	67	2885
23	68	2776
24	68	2678
25	69	2588
26	69	2503
27	69	2423
28	70	2349
29	70	2280
30	70	2218
31	71	2157
32	71	2104
33	72	2050
34	72	2001
35	72	1953
36	73	1907
37	73	1864
38	74	1823
39	74	1785
40	74	1748
41	75	1713
42	75	1679
43	75	1649
44	76	1624
45	76	1595
46	77	1569
47	77	1541
48	78	1521
49	78	1495
50	79	1475
51	79	1451
52	79	1428
53	80	1406
54	80	1384
55	80	1362
56	81	1342
57	81	1322
58	81	1303
59	82	1285
60	82	1267
61	82	1250
62	82	1233
63	83	1217
64	83	1201
65	83	1186
66	84	1171
67	84	1154
68	84	1140
69	84	1126
70	85	1112
71	85	1099
72	85	1086
73	85	1074
74	86	1062
75	86	1050
76	86	1038
77	86	1027
78	87	1016
79	87	1005
80	87	995
81	87	984
82	88	975
83	88	965
84	88	954
85	88	945
86	89	934
87	89	926
88	89	918
89	89	909
90	90	901
91	90	893
92	90	885
93	91	877
94	91	870
95	91	863
96	91	855
97	92	848
98	92	841
99	92	834
100	93	828
101	93	820
102	93	814
103	93	808
104	94	802
105	94	796
106	94	791
107	95	785
108	95	779
109	95	773
110	95	767
111	96	762
112	96	756
113	96	751
114	96	745
115	97	739
116	97	734
117	97	729
118	97	723
119	98	718
120	98	713
121	98	708
122	98	702
123	98	698
124	99	693
125	99	688
126	99	684
127	99	679
128	99	674
129	100	670
130	100	666
131	100	662
132	101	658
133	101	654
134	101	650
135	101	646
136	102	643
137	102	639
138	102	635
139	102	631
140	103	628
141	103	624
142	103	620
143	103	617
144	104	613
145	104	610
146	104	607
147	104	603
148	105	600
149	105	597
150	105	594
151	105	590
152	106	587
153	106	584
154	106	581
155	106	578
156	107	575
157	107	572
158	107	569
159	108	567
160	108	564
161	108	561
162	108	558
163	109	556
164	109	553
165	109	550
166	109	548
167	110	545
168	110	542
169	110	540
170	110	537
171	111	535
172	111	532
173	111	530
174	111	527
175	112	525
176	112	523
177	112	520
178	112	518
179	113	515
180	113	512
181	113	510
182	113	508
183	114	505
184	114	503
185	114	501
186	114	499
187	115	497
188	115	495
189	115	492
190	115	490
191	116	488
192	116	486
193	116	484
194	116	482
195	117	480
196	117	478
197	117	476
198	117	474
199	118	472
200	118	470
201	118	468
202	118	466
203	119	464
204	119	462
205	119	461
206	119	459
207	120	457
208	120	455
209	120	454
210	120	452
211	121	450
212	121	448
213	121	447
214	122	445
215	122	443
216	122	442
217	122	440
218	123	438
219	123	437
220	123	435
221	123	433
222	124	432
223	124	430
224	124	429
225	124	427
226	125	426
227	125	424
228	125	423
229	125	421
230	126	420
231	126	418
232	126	417
233	127	415
234	127	414
235	127	412
236	127	411
237	128	410
238	128	408
239	128	407
240	128	405
241	129	404
242	129	402
243	129	401
244	129	400
245	130	398
246	130	397
247	130	395
248	130	394
249	131	393
250	131	391
251	131	390
252	131	389
253	132	387
254	132	386
255	132	385
256	132	383
257	133	382
258	133	381
259	133	380
260	133	378
261	134	377
262	134	376
263	134	375
264	134	373
265	135	372
266	135	371
267	135	370
268	135	369
269	136	367
270	136	366
271	136	365
272	136	364
273	137	364
274	137	363
275	137	361
276	138	360
277	138	359
278	138	358
279	139	357
280	139	356
281	139	355
282	139	354
283	140	353
284	140	352
285	140	351
286	140	350
287	141	349
288	141	348
289	141	346
290	142	345
291	142	344
292	142	343
293	142	342
294	143	341
295	143	340
296	143	339
297	143	338
298	144	337
299	144	336
300	144	335
301	144	334
302	145	333
303	145	332
304	145	331
305	145	330
306	146	329
307	146	328
308	146	327
309	146	326
310	147	325
311	147	324
312	147	323
313	147	323
314	148	322
315	148	321
316	148	320
317	148	319
318	149	318
319	149	317
320	149	316
321	149	315
322	150	314
323	150	313
324	150	313
325	151	312
326	151	311
327	151	310
328	151	309
329	152	308
330	152	307
331	152	306
332	152	306
333	153	305
334	153	304
335	153	303
336	153	302
337	154	301
338	154	301
339	154	300
340	154	299
341	155	298
342	155	297
343	155	296
344	155	295
345	156	295
346	156	294
347	156	293
348	156	292
349	157	291
350	157	291
351	157	290
352	157	289
353	158	288
354	158	288
355	158	287
356	159	286
357	159	285
358	159	284
359	159	284
360	160	283
361	160	282
362	160	281
363	160	280
364	161	280
365	161	279
366	161	278
367	161	277
368	162	277
369	162	276
370	162	275
371	162	274
372	163	274
373	163	273
374	163	272
375	163	271
376	164	271
377	164	270
378	164	269
379	164	269
380	165	268
381	165	267
382	165	266
383	165	266
384	166	265
385	166	264
386	166	264
387	166	263
388	167	262
389	167	261
390	167	261
391	168	260
392	168	259
393	168	259
394	168	258
395	169	257
396	169	257
397	169	256
398	169	255
399	170	255
400	170	254
401	170	253
402	170	253
403	171	252
404	171	251
405	171	251
406	171	250
407	172	249
408	172	249
409	172	248
410	172	247
411	173	247
412	173	246
413	173	245
414	173	245
415	174	244
416	174	243
417	174	243
418	174	242
419	175	241
420	175	241
421	175	240
422	176	240
423	176	239
424	176	239
425	176	238
426	177	237
427	177	237
428	177	236
429	177	235
430	178	235
431	178	234
432	178	234
433	179	233
434	179	232
435	179	232
436	179	231
437	180	231
438	180	230
439	180	229
440	180	229
441	181	228
442	181	228
443	181	227
444	181	226
445	182	226
446	182	225
447	182	225
448	182	224
449	183	223
450	183	223
451	183	222
452	183	222
453	184	221
454	184	220
455	184	220
456	184	219
457	185	219
458	185	218
459	185	217
460	185	217
461	186	216
462	186	216
463	186	215
464	187	215
465	187	214
466	187	214
467	187	213
468	188	212
469	188	212
470	188	211
471	188	211
472	189	210
473	189	210
474	189	209
475	189	208
476	190	208
477	190	207
478	190	207
479	190	206
480	191	206
481	191	205
482	191	205
483	191	204
484	192	203
485	192	203
486	192	202
487	192	202
488	193	201
489	193	201
490	193	200
491	193	200
492	194	199
493	194	199
494	194	198
495	194	198
496	195	197
497	195	196
498	195	196
499	195	195
500	196	195
501	196	194
502	196	194
503	196	193
504	197	193
505	197	192
506	197	192
507	197	191
508	198	191
509	198	190
510	198	190
511	198	189
512	199	189
513	199	188
514	199	188
515	200	187
516	200	187
517	200	186
518	200	186
519	201	185
520	201	185
521	201	184
522	201	184
523	202	183
524	202	183
525	202	182
526	202	182
527	203	181
528	203	181
529	203	180
530	203	180
531	204	179
532	204	179
533	204	178
534	204	178
535	205	177
536	205	177
537	205	176
538	206	176
539	206	175
540	206	175
541	206	174
542	207	174
543	207	173
544	207	173
545	207	172
546	208	172
547	208	171
548	208	171
549	208	170
550	209	170
551	209	169
552	209	169
553	209	168
554	210	168
555	210	167
556	210	167
557	210	167
558	211	166
559	211	166
560	211	165
561	211	165
562	212	164
563	212	164
564	212	163
565	213	163
566	213	162
567	213	162
568	213	161
569	214	161
570	214	161
571	214	160
572	214	160
573	215	159
574	215	159
575	215	158
576	215	158
577	216	157
578	216	157
579	216	156
580	216	156
581	217	155
582	217	155
583	217	155
584	217	154
585	218	154
586	218	153
587	218	153
588	218	152
589	219	152
590	219	151
591	219	151
592	220	151
593	220	150
594	220	150
595	220	149
596	221	149
597	221	148
598	221	148
599	221	147
600	222	147
601	222	146
602	222	146
603	222	146
604	223	145
605	223	145
606	223	144
607	223	144
608	224	143
609	224	143
610	224	142
611	224	142
612	225	142
613	225	141
614	225	141
615	225	140
616	226	140
617	226	139
618	226	139
619	226	139
620	227	138
621	227	138
622	227	137
623	228	137
624	228	136
625	228	136
626	228	136
627	229	135
628	229	135
629	229	134
630	229	134
631	230	133
632	230	133
633	230	133
634	230	132
635	231	132
636	231	131
637	231	131
638	231	131
639	232	130
640	232	130
641	232	129
642	232	129
643	233	128
644	233	128
645	233	128
646	234	127
647	234	127
648	234	126
649	234	126
650	235	126
651	235	125
652	235	125
653	235	124
654	236	124
655	236	123
656	236	123
657	236	123
658	237	122
659	237	122
660	237	121
661	237	121
662	238	121
663	238	120
664	238	120
665	238	119
666	239	119
667	239	119
668	239	118
669	239	118
670	240	117
671	240	117
672	240	116
673	241	116
674	241	116
675	241	115
676	241	115
677	242	114
678	242	114
679	242	114
680	242	113
681	243	113
682	243	112
683	243	112
684	243	112
685	244	111
686	244	111
687	244	110
688	244	110
689	245	110
690	245	109
691	245	109
692	245	108
693	246	108
694	246	108
695	246	107
696	246	107
697	247	106
698	247	106
699	247	106
700	248	105
701	248	105
702	248	105
703	248	104
704	249	104
705	249	103
706	249	103
707	249	102
708	249	102
709	250	102
710	250	101
711	250	101
712	251	101
713	251	100
714	251	100
715	251	99
716	252	99
717	252	99
718	252	98
719	252	98
720	253	97
721	253	97
722	253	97
723	253	96
724	254	96
725	254	96
726	254	95
727	254	95
728	255	94
729	255	94
730	255	94
731	255	93
732	256	93
733	256	92
734	256	92
735	256	92
736	257	91
737	257	91
738	257	91
739	257	90
740	258	90
741	258	89
742	258	89
743	258	89
744	259	88
745	259	88
746	259	87
747	260	87
748	260	87
749	260	86
750	260	86
751	261	86
752	261	85
753	261	85
754	261	84
755	262	84
756	262	84
757	262	83
758	262	83
759	263	83
760	263	82
761	263	82
762	263	81
763	264	81
764	264	81
765	264	80
766	264	80
767	265	80
768	265	79
769	265	79
770	265	78
771	266	78
772	266	78
773	266	77
774	266	77
775	267	77
776	267	76
777	267	76
778	268	76
779	268	75
780	268	75
781	268	74
782	269	74
783	269	74
784	269	73
785	269	73
786	270	73
787	270	72
788	270	72
789	271	72
790	271	71
791	271	71
792	271	70
793	272	70
794	272	70
795	272	69
796	272	69
797	273	69
798	273	68
799	273	68
800	273	68
801	274	67
802	274	67
803	274	66
804	274	66
805	275	66
806	275	65
807	275	65
808	275	65
809	276	64
810	276	64
811	276	64
812	276	63
813	277	63
814	277	62
815	277	62
816	277	62
817	278	61
818	278	61
819	278	61
820	278	60
821	279	60
822	279	60
823	279	59
824	279	59
825	280	58
826	280	58
827	280	58
828	280	57
829	281	57
830	281	57
831	281	56
832	281	56
833	282	56
834	282	55
835	282	55
836	282	55
837	282	54
838	283	54
839	283	53
840	283	53
841	284	53
842	284	52
843	284	52
844	284	52
845	285	51
846	285	51
847	285	51
848	285	50
849	285	50
850	286	50
851	286	49
852	286	49
853	286	49
854	287	48
855	287	48
856	287	48
857	288	47
858	288	47
859	288	46
860	288	46
861	289	46
862	289	45
863	289	45
864	289	45
865	290	44
866	290	44
867	290	44
868	290	43
869	291	43
870	291	43
871	291	42
872	291	42
873	292	42
874	292	41
875	292	41
876	292	41
877	293	40
878	293	40
879	293	40
880	293	39
881	294	39
882	294	39
883	294	38
884	294	38
885	295	37
886	295	37
887	295	37
888	295	36
889	296	36
890	296	36
891	296	35
892	296	35
893	297	35
894	297	34
895	297	34
896	297	34
897	298	33
898	298	33
899	298	33
900	299	32
901	299	32
902	299	32
903	299	31
904	300	31
905	300	31
906	300	30
907	300	30
908	301	30
909	301	29
910	301	29
911	301	29
912	302	28
913	302	28
914	302	28
915	303	27
916	303	27
917	303	27
918	303	26
919	304	26
920	304	26
921	304	25
922	304	25
923	305	25
924	305	24
925	305	24
926	305	24
927	306	23
928	306	23
929	306	23
930	306	22
931	307	22
932	307	22
933	307	21
934	307	21
935	307	21
936	308	20
937	308	20
938	308	20
939	309	19
940	309	19
941	309	19
942	309	18
943	310	18
944	310	18
945	310	17
946	310	17
947	311	17
948	311	16
949	311	16
950	312	16
951	312	15
952	312	15
953	313	15
954	313	14
955	313	14
956	313	14
957	314	13
958	314	13
959	314	13
960	314	12
961	315	12
962	315	12
963	315	11
964	315	11
965	316	11
966	316	10
967	316	10
968	316	10
969	317	9
970	317	9
971	317	9
972	317	8
973	318	8
974	318	8
975	318	7
976	319	7
977	319	7
978	319	6
979	319	6
980	320	6
981	320	5
982	320	5
983	320	5
984	321	4
985	321	4
986	321	4
987	321	3
988	322	3
989	322	3
990	322	2
991	322	2
992	323	2
993	323	1
994	323	1
995	323	1
996	324	0
997	324	0
998	324	0
999	324	0
