iter	Passed	Remaining
0	60	59965
1	60	30219
2	61	20303
3	61	15322
4	62	12338
5	62	10328
6	62	8893
7	63	7825
8	63	6986
9	63	6311
10	64	5759
11	64	5312
12	64	4927
13	65	4592
14	65	4302
15	65	4050
16	66	3826
17	66	3630
18	67	3460
19	67	3305
20	67	3166
21	68	3039
22	68	2919
23	69	2807
24	69	2706
25	69	2611
26	70	2522
27	70	2441
28	70	2365
29	71	2297
30	71	2231
31	71	2168
32	71	2109
33	72	2055
34	72	2002
35	72	1952
36	73	1907
37	73	1862
38	73	1820
39	74	1780
40	74	1742
41	74	1705
42	75	1671
43	75	1637
44	75	1605
45	75	1574
46	76	1545
47	76	1517
48	76	1490
49	77	1465
50	77	1440
51	77	1415
52	77	1392
53	78	1370
54	78	1349
55	78	1328
56	79	1308
57	79	1288
58	79	1271
59	80	1253
60	80	1235
61	80	1218
62	80	1202
63	81	1186
64	81	1171
65	81	1159
66	82	1147
67	82	1135
68	83	1123
69	83	1110
70	83	1098
71	84	1086
72	84	1076
73	85	1064
74	85	1052
75	85	1043
76	86	1032
77	86	1021
78	86	1011
79	87	1002
80	87	992
81	87	983
82	88	973
83	88	964
84	88	957
85	89	949
86	89	941
87	89	932
88	90	924
89	90	917
90	91	909
91	91	902
92	91	895
93	92	888
94	92	881
95	92	874
96	93	868
97	93	862
98	94	856
99	94	849
100	94	843
101	95	840
102	95	835
103	96	830
104	96	825
105	97	819
106	97	814
107	98	809
108	98	804
109	98	799
110	99	794
111	99	789
112	99	784
113	100	780
114	100	775
115	101	771
116	101	766
117	101	762
118	102	758
119	102	753
120	103	750
121	103	745
122	103	741
123	104	737
124	104	732
125	105	729
126	105	724
127	105	720
128	106	717
129	106	713
130	106	709
131	107	706
132	107	702
133	108	699
134	108	695
135	109	692
136	109	688
137	109	685
138	110	683
139	110	681
140	111	678
141	111	674
142	111	670
143	112	666
144	112	664
145	113	662
146	113	659
147	114	657
148	114	655
149	115	651
150	115	648
151	115	644
152	115	641
153	116	638
154	116	635
155	117	633
156	117	630
157	117	628
158	118	625
159	118	623
160	119	620
161	119	618
162	119	615
163	120	613
164	120	610
165	120	607
166	121	604
167	121	602
168	122	600
169	122	598
170	122	595
171	123	593
172	123	591
173	124	588
174	124	587
175	125	585
176	125	584
177	126	583
178	126	580
179	127	578
180	127	576
181	127	574
182	128	572
183	128	571
184	129	568
185	129	566
186	129	564
187	130	562
188	130	560
189	130	558
190	131	556
191	131	554
192	132	553
193	132	551
194	133	549
195	133	547
196	133	546
197	134	544
198	134	541
199	135	540
200	135	538
201	135	536
202	136	535
203	136	533
204	137	531
205	137	529
206	137	527
207	137	524
208	138	523
209	138	521
210	138	519
211	139	518
212	139	516
213	140	514
214	140	514
215	141	512
216	141	510
217	141	508
218	142	506
219	142	504
220	142	502
221	142	500
222	143	498
223	143	496
224	143	494
225	143	492
226	144	491
227	144	489
228	144	487
229	145	485
230	145	483
231	145	482
232	145	480
233	146	478
234	146	476
235	146	475
236	147	474
237	147	473
238	148	472
239	148	471
240	149	469
241	149	468
242	149	466
243	150	464
244	150	463
245	150	461
246	150	460
247	151	458
248	151	456
249	151	455
250	152	453
251	152	452
252	152	450
253	152	448
254	153	447
255	153	445
256	153	444
257	153	442
258	154	441
259	154	439
260	154	438
261	155	437
262	155	435
263	155	434
264	156	433
265	156	431
266	156	430
267	157	428
268	157	427
269	157	426
270	157	424
271	158	423
272	158	422
273	158	421
274	159	419
275	159	418
276	159	416
277	160	415
278	160	414
279	160	413
280	160	411
281	161	410
282	161	409
283	162	408
284	162	407
285	162	406
286	163	405
287	163	404
288	164	403
289	164	402
290	164	401
291	165	400
292	165	399
293	165	398
294	166	396
295	166	395
296	166	394
297	166	393
298	167	391
299	167	390
300	167	389
301	167	388
302	168	386
303	168	385
304	168	384
305	169	383
306	169	382
307	169	380
308	169	379
309	170	378
310	170	377
311	170	376
312	171	375
313	171	374
314	171	373
315	171	372
316	172	371
317	173	371
318	173	370
319	173	369
320	174	368
321	174	367
322	174	366
323	174	365
324	175	363
325	175	362
326	175	361
327	176	360
328	176	359
329	176	358
330	176	357
331	177	356
332	177	355
333	177	354
334	178	353
335	178	352
336	178	351
337	178	350
338	179	349
339	179	348
340	179	347
341	180	346
342	180	345
343	180	344
344	181	343
345	181	342
346	181	341
347	181	340
348	182	339
349	182	338
350	182	337
351	182	336
352	183	335
353	183	334
354	183	334
355	184	333
356	184	332
357	185	332
358	185	331
359	186	331
360	186	330
361	187	329
362	187	328
363	187	327
364	187	326
365	188	325
366	188	324
367	188	323
368	188	323
369	189	322
370	189	321
371	189	320
372	189	319
373	190	318
374	190	317
375	190	316
376	191	315
377	191	314
378	191	313
379	191	313
380	192	312
381	192	311
382	192	310
383	193	309
384	193	308
385	193	308
386	193	307
387	194	306
388	194	305
389	195	305
390	195	304
391	195	303
392	195	302
393	196	301
394	196	300
395	196	299
396	196	299
397	197	298
398	197	297
399	197	296
400	198	295
401	198	294
402	198	294
403	198	293
404	199	292
405	199	291
406	199	291
407	199	290
408	200	289
409	200	288
410	200	287
411	201	287
412	201	286
413	201	285
414	201	284
415	202	284
416	202	283
417	203	283
418	203	282
419	203	281
420	204	280
421	204	279
422	204	279
423	204	278
424	205	277
425	205	276
426	205	276
427	206	275
428	206	274
429	206	273
430	206	273
431	207	272
432	207	271
433	207	270
434	207	270
435	208	269
436	208	268
437	208	267
438	209	267
439	209	266
440	209	265
441	209	264
442	210	264
443	210	263
444	210	262
445	211	262
446	211	261
447	211	260
448	211	260
449	212	259
450	212	258
451	212	257
452	213	257
453	213	256
454	213	255
455	213	255
456	214	254
457	214	253
458	214	253
459	214	252
460	215	251
461	215	250
462	215	250
463	216	249
464	216	248
465	216	248
466	216	247
467	217	246
468	217	246
469	218	245
470	218	245
471	218	244
472	218	243
473	219	243
474	219	242
475	219	241
476	219	241
477	220	240
478	220	239
479	220	239
480	220	238
481	221	237
482	221	237
483	221	236
484	222	235
485	222	235
486	222	234
487	222	233
488	223	233
489	223	232
490	223	232
491	224	231
492	224	230
493	224	230
494	224	229
495	225	228
496	225	228
497	225	227
498	225	226
499	226	226
500	226	225
501	226	224
502	227	224
503	227	223
504	227	223
505	227	222
506	228	221
507	228	221
508	228	220
509	228	219
510	229	219
511	229	218
512	229	218
513	230	217
514	230	216
515	230	216
516	230	215
517	231	215
518	231	214
519	231	213
520	231	213
521	232	212
522	232	212
523	232	211
524	233	210
525	233	210
526	233	209
527	234	209
528	234	208
529	234	207
530	234	207
531	235	206
532	235	206
533	235	205
534	235	204
535	236	204
536	236	203
537	236	203
538	236	202
539	237	202
540	237	201
541	237	200
542	237	200
543	238	199
544	238	199
545	238	198
546	239	197
547	239	197
548	239	196
549	239	196
550	240	195
551	240	195
552	240	194
553	240	193
554	241	193
555	241	192
556	241	192
557	242	191
558	242	191
559	242	190
560	242	189
561	243	189
562	243	188
563	243	188
564	243	187
565	244	187
566	244	186
567	244	186
568	244	185
569	245	185
570	245	184
571	245	183
572	246	183
573	246	182
574	246	182
575	246	181
576	247	181
577	247	180
578	247	180
579	247	179
580	248	179
581	248	178
582	248	178
583	249	177
584	249	176
585	249	176
586	250	175
587	250	175
588	250	174
589	251	174
590	251	173
591	251	173
592	251	172
593	252	172
594	252	171
595	252	171
596	253	170
597	253	170
598	253	169
599	253	169
600	254	168
601	254	168
602	254	167
603	254	167
604	255	166
605	255	166
606	255	165
607	255	165
608	256	164
609	256	163
610	256	163
611	256	162
612	257	162
613	257	161
614	257	161
615	258	160
616	258	160
617	258	159
618	258	159
619	259	158
620	259	158
621	259	157
622	259	157
623	260	156
624	260	156
625	260	155
626	261	155
627	261	154
628	261	154
629	261	153
630	262	153
631	262	152
632	262	152
633	263	151
634	263	151
635	263	150
636	263	150
637	264	149
638	264	149
639	264	148
640	265	148
641	265	147
642	265	147
643	265	146
644	266	146
645	266	146
646	266	145
647	267	145
648	267	144
649	267	144
650	267	143
651	268	143
652	268	142
653	268	142
654	268	141
655	269	141
656	269	140
657	269	140
658	269	139
659	270	139
660	270	138
661	270	138
662	271	137
663	271	137
664	271	136
665	271	136
666	272	135
667	272	135
668	272	134
669	272	134
670	273	133
671	273	133
672	273	133
673	274	132
674	274	132
675	274	131
676	274	131
677	275	130
678	275	130
679	275	129
680	276	129
681	276	128
682	276	128
683	276	127
684	277	127
685	277	126
686	277	126
687	277	126
688	278	125
689	278	125
690	278	124
691	279	124
692	279	123
693	279	123
694	279	122
695	280	122
696	280	121
697	280	121
698	281	121
699	281	120
700	281	120
701	281	119
702	282	119
703	282	118
704	282	118
705	282	117
706	283	117
707	283	116
708	283	116
709	283	115
710	284	115
711	284	115
712	284	114
713	285	114
714	285	113
715	285	113
716	285	112
717	286	112
718	286	111
719	286	111
720	286	111
721	287	110
722	287	110
723	287	109
724	288	109
725	288	108
726	288	108
727	288	107
728	289	107
729	289	107
730	289	106
731	290	106
732	290	105
733	290	105
734	290	104
735	291	104
736	291	103
737	291	103
738	291	103
739	292	102
740	292	102
741	292	101
742	293	101
743	293	100
744	293	100
745	293	100
746	294	99
747	294	99
748	294	98
749	294	98
750	295	97
751	295	97
752	295	97
753	296	96
754	296	96
755	296	95
756	296	95
757	297	94
758	297	94
759	297	94
760	297	93
761	298	93
762	298	92
763	298	92
764	298	91
765	299	91
766	299	90
767	299	90
768	300	90
769	300	89
770	300	89
771	300	88
772	301	88
773	301	87
774	301	87
775	301	87
776	302	86
777	302	86
778	302	85
779	302	85
780	303	85
781	303	84
782	303	84
783	303	83
784	304	83
785	304	82
786	304	82
787	305	82
788	305	81
789	305	81
790	305	80
791	306	80
792	306	80
793	306	79
794	306	79
795	307	78
796	307	78
797	307	77
798	308	77
799	308	77
800	308	76
801	308	76
802	309	75
803	309	75
804	309	75
805	309	74
806	310	74
807	310	73
808	310	73
809	311	72
810	311	72
811	311	72
812	311	71
813	312	71
814	312	70
815	312	70
816	312	70
817	313	69
818	313	69
819	313	68
820	314	68
821	314	68
822	314	67
823	314	67
824	315	66
825	315	66
826	315	66
827	315	65
828	316	65
829	316	64
830	316	64
831	317	64
832	317	63
833	317	63
834	317	62
835	318	62
836	318	61
837	318	61
838	318	61
839	319	60
840	319	60
841	319	59
842	319	59
843	320	59
844	320	58
845	320	58
